"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.282208117E-3,-4.528746754E-2,1.962530017E-1,-1.807706058E-2,2.022201165E-1
1.823920826E-2,-6.377795711E-3,1.924590170E-1,-1.552025974E-2,1.931890990E-1
2.819720819E-2,2.914158255E-2,1.887252629E-1,-8.382989094E-3,1.911458375E-1
3.815420833E-2,6.093236431E-2,1.802340746E-1,-1.440799795E-3,1.902607436E-1
4.811220826E-2,8.985482156E-2,1.694799662E-1,8.251775056E-3,1.920037491E-1
5.806920817E-2,1.136120781E-1,1.549259871E-1,7.110040635E-3,1.922506657E-1
6.802720833E-2,1.356324255E-1,1.337916851E-1,6.989133544E-3,1.906442180E-1
7.798420824E-2,1.473641843E-1,1.177530587E-1,-1.426455565E-3,1.886372720E-1
8.794220816E-2,1.475841701E-1,1.031421572E-1,3.846869804E-3,1.800949479E-1
9.789920831E-2,1.360063404E-1,8.716955036E-2,1.181352418E-2,1.619747341E-1
1.078572082E-1,1.155053303E-1,7.551449537E-2,2.240358293E-2,1.398064407E-1
1.178152082E-1,8.958113939E-2,6.422367692E-2,2.344672009E-2,1.126907711E-1
1.277722083E-1,5.933402479E-2,4.936110601E-2,2.317188121E-2,8.058524283E-2
1.377302082E-1,2.758532390E-2,3.978105262E-2,2.521759644E-2,5.458396662E-2
1.476872081E-1,-7.955890149E-3,3.183311224E-2,3.347898647E-2,4.687734803E-2
1.576452083E-1,-4.390129074E-2,2.322695032E-2,4.219092056E-2,6.516815425E-2
1.676022082E-1,-7.291829586E-2,1.278922334E-2,4.473823681E-2,8.649943317E-2
1.775602081E-1,-9.582707286E-2,2.916885074E-3,4.253686592E-2,1.048843223E-1
1.875172083E-1,-1.097804382E-1,-9.305693209E-3,3.393405676E-2,1.152816584E-1
1.974752082E-1,-1.205204278E-1,-1.574111916E-2,2.825882472E-2,1.247858867E-1
2.074322081E-1,-1.239556372E-1,-2.051164024E-2,3.163890541E-2,1.295636821E-1
2.173902083E-1,-1.118832603E-1,-2.542676963E-2,3.679239005E-2,1.204909313E-1
2.273472082E-1,-9.436712414E-2,-3.048810549E-2,3.835140541E-2,1.063273671E-1
2.373052081E-1,-6.660109013E-2,-3.409024328E-2,3.257298097E-2,8.160177071E-2
2.472622083E-1,-3.154563904E-2,-4.301742464E-2,3.099425882E-2,6.169497747E-2
2.572202082E-1,3.594764508E-3,-4.041085020E-2,3.404635191E-2,5.296331961E-2
2.671772083E-1,4.083560780E-2,-4.238744825E-2,4.822954908E-2,7.609423130E-2
2.771352082E-1,7.583230734E-2,-4.641887173E-2,5.188425630E-2,1.029428314E-1
2.870932082E-1,1.078770608E-1,-5.013770983E-2,5.106959492E-2,1.294579226E-1
2.970502083E-1,1.365891248E-1,-5.357355624E-2,4.897612333E-2,1.546782971E-1
3.070082082E-1,1.614209712E-1,-5.843834952E-2,4.279439524E-2,1.769269083E-1
3.169652082E-1,1.817423999E-1,-5.728320777E-2,4.622335359E-2,1.960822895E-1
3.269232083E-1,1.949591339E-1,-6.103427336E-2,4.850381985E-2,2.099687285E-1
3.368802082E-1,2.035714537E-1,-6.837654859E-2,4.689217359E-2,2.198080187E-1
3.468382081E-1,2.074854970E-1,-7.468344271E-2,4.453793913E-2,2.249699449E-1
3.567952083E-1,1.978284121E-1,-8.121495694E-2,4.370628297E-2,2.182709074E-1
3.667532082E-1,1.836721301E-1,-8.696153015E-2,4.762192816E-2,2.087237580E-1
3.767102081E-1,1.545675993E-1,-8.847805858E-2,5.122637749E-2,1.853204019E-1
3.866682083E-1,1.202367842E-1,-9.334205836E-2,5.940254778E-2,1.633961041E-1
3.966252082E-1,8.377349377E-2,-9.294543415E-2,5.875835568E-2,1.382367402E-1
4.065832081E-1,3.802490979E-2,-9.336195141E-2,5.825821310E-2,1.164318132E-1
4.165402083E-1,-5.268389359E-4,-9.441945702E-2,5.539948493E-2,1.094733500E-1
4.264982082E-1,-3.661400080E-2,-9.526820481E-2,5.327881128E-2,1.151314363E-1
4.364552081E-1,-6.298594177E-2,-9.666749835E-2,4.788104445E-2,1.249176870E-1
4.464132083E-1,-8.042298257E-2,-1.038676202E-1,3.917197511E-2,1.370794744E-1
4.563712082E-1,-8.659611642E-2,-1.075022668E-1,3.048544005E-2,1.413682666E-1
4.663282083E-1,-9.330275655E-2,-1.088908389E-1,2.375456691E-2,1.453509499E-1
4.762862083E-1,-8.888429403E-2,-1.098243967E-1,2.257965878E-2,1.430791977E-1
4.862432082E-1,-7.652989030E-2,-1.056786552E-1,1.887706667E-2,1.318375740E-1
4.962012083E-1,-6.250826269E-2,-1.050140858E-1,1.329714619E-2,1.229310994E-1
5.061582082E-1,-4.041307792E-2,-1.004691347E-1,9.594020434E-3,1.087166461E-1
5.161162082E-1,-1.323303115E-2,-9.872585535E-2,7.212711498E-3,9.986956911E-2
5.260732083E-1,1.502683666E-2,-9.530103207E-2,9.277460165E-3,9.692349457E-2
5.360312082E-1,4.671765119E-2,-8.786626160E-2,5.652023479E-3,9.967429072E-2
5.459882081E-1,7.810753584E-2,-8.659859747E-2,-3.025620244E-3,1.166587271E-1
5.559462083E-1,1.073978618E-1,-8.271931857E-2,-1.088520419E-2,1.359973310E-1
5.659032082E-1,1.321724504E-1,-7.531919330E-2,-1.846216246E-2,1.532429084E-1
5.758612081E-1,1.457560807E-1,-6.812434644E-2,-2.148182318E-2,1.623182996E-1
5.858182083E-1,1.551408023E-1,-5.426259339E-2,-2.329623327E-2,1.659994339E-1
5.957762082E-1,1.536450833E-1,-4.273342341E-2,-1.869479939E-2,1.605691522E-1
6.057332081E-1,1.490205079E-1,-3.300383314E-2,-1.831769571E-2,1.537267145E-1
6.156912083E-1,1.356055439E-1,-2.343999781E-2,-2.181063220E-2,1.393341333E-1
6.256492082E-1,1.120544001E-1,-1.493279636E-2,-1.815597713E-2,1.144937400E-1
6.356054998E-1,8.375885338E-2,-3.418464446E-3,-9.752032347E-3,8.439391893E-2
6.455635000E-1,5.205845088E-2,6.760137156E-3,-7.591142319E-3,5.304156110E-2
6.555204999E-1,1.311450265E-2,1.598589495E-2,-2.756021917E-3,2.085988193E-2
6.654784998E-1,-2.194255032E-2,2.265684679E-2,-1.014629379E-2,3.313239349E-2
6.754355000E-1,-5.875470489E-2,2.602951974E-2,-1.899397373E-2,6.701061321E-2
6.853934999E-1,-9.571351856E-2,3.609760106E-2,-2.090372518E-2,1.044082380E-1
6.953504998E-1,-1.196807399E-1,4.716930166E-2,-2.201203257E-2,1.305103525E-1
7.053085000E-1,-1.387023628E-1,5.669888854E-2,-2.039256319E-2,1.512248856E-1
7.152654999E-1,-1.542089581E-1,5.821685866E-2,-2.170060948E-2,1.662543890E-1
